,Unnamed: 0,consoles,games;
465,465,Series,Onimusha;
466,466,All,NBA 2K17;
467,467,PS4,Call of Duty: Infinite Warfare;
468,468,PS4,Fallout 4;
469,469,WiiU,Mario Kart 8;
470,470,PS,Tekken 3;
471,471,All,Monster Hunter 4;
472,472,PS4,FIFA 16;
473,473,All,Lego Star Wars II: The Original Trilogy;
474,474,PS3,The Last of Us;
475,475,N64,GoldenEye 007;
476,476,PS4,Star Wars Battlefront (2015);
477,477,PS3,FIFA 13;
478,478,XB,Halo 2;
479,479,PS,Harry Potter and the Sorcerer's Stone;
480,480,PC,Sid Meier's Civilization V;
481,481,PS4,Ghost of Tsushima;
482,482,Series,Unreal;
483,483,Series,Moto Racer;
484,484,Series,Samurai Warriors;
485,485,Series,Romance of the Three Kingdoms;
486,486,Series,Inazuma Eleven;
487,487,Series,Kinect Sports;
488,488,Series,Cuphead;
489,489,All,Grand Theft Auto: Liberty City Stories;
490,490,All,Assassin's Creed;
491,491,All,NBA 2K16;
492,492,All,Dragon Ball Xenoverse 2;
493,493,All,Dragon Ball FighterZ;
494,494,All,Guitar Hero III: Legends of Rock;
495,495,All,Detroit: Become Human;
496,496,All,Cars;
497,497,PC,The Sims 3;
498,498,NS,Super Mario Maker 2;
499,499,All,FIFA 09;
500,500,PSP,Grand Theft Auto: Liberty City Stories;
501,501,All,Final Fantasy XII;
502,502,All,Final Fantasy XIII;
503,503,2600,Pac-Man;
504,504,NS,Monster Hunter Rise;
505,505,PC,Cyberpunk 2077;
506,506,Series,Magicka;
507,507,N64,The Legend of Zelda: Ocarina of Time;
508,508,PS3,God of War III;
509,509,DS,Pokémon Platinum Version;
510,510,Series,Jurassic Park;
511,511,PS4,Call of Duty: Advanced Warfare;
512,512,Series,Crysis;
513,513,All,NieR: Automata;
514,514,X360,Call of Duty: World at War;
515,515,Series,Baldur's Gate;
516,516,NES,Super Mario Bros. 2;
517,517,GC,Super Smash Bros. Melee;
518,518,Wii,Super Mario Galaxy 2;
519,519,All,Resident Evil 8: Village;
520,520,All,Madden NFL 07;
521,521,Series,Trine;
522,522,XOne,Call of Duty: Black Ops 3;
523,523,X360,Battlefield 3;
524,524,3DS,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters;
525,525,Series,The Forest;
526,526,All,Battlefield V;
527,527,Series,Ark;
528,528,Wii,The Legend of Zelda: Twilight Princess;
529,529,PS4,Battlefield 1;
530,530,PS3,Battlefield 3;
531,531,Series,Oddworld;
532,532,PS2,Need for Speed Underground;
533,533,Series,Dragon's Dogma;
534,534,All,Assassin's Creed: Brotherhood;
535,535,All,Call of Duty 3;
536,536,Series,WarioWare;
537,537,PC,The Binding of Isaac;
538,538,All,Tomb Raider;
539,539,GBA,Pokémon Emerald Version;
540,540,PS2,Metal Gear Solid 2: Sons of Liberty;
541,541,PC,Guild Wars 2;
542,542,Series,The Legend of Heroes: Trails;
543,543,Series,Nioh;
544,544,Series,Mana;
545,545,Series,Rugrats;
