Name,Publisher,Total_shipped,Total_sales,Date
Grand Theft Auto III,Rockstar Games,N/A,13.10m,23rd Oct 01
Portal 2,Valve,13.06m,N/A,19th Apr 11
Animal Crossing: New Leaf    Read the review,Nintendo,13.02m,N/A,09th Jun 13
ARMA,505 Games,13.00m,N/A,04th May 07
Minecraft    Read the review,Microsoft Studios,13.00m,N/A,04th Jun 13
Scribblenauts,Warner Bros. Interactive Entertainment,13.00m,N/A,15th Sep 09
Stardew Valley,Chucklefish,13.00m,N/A,26th Feb 16
Super Mario 3D Land    Read the review,Nintendo,12.86m,N/A,13th Nov 11
Super Mario Galaxy    Read the review,Nintendo,12.80m,N/A,12th Nov 07
Pokémon Heart Gold / Soul Silver Version    Read the review,Nintendo,12.72m,N/A,14th Mar 10
Call of Duty: Black Ops    Read the review,Activision,N/A,12.67m,09th Nov 10
Grand Theft Auto V,Rockstar Games,12.60m,N/A,14th Apr 15
Fable,Microsoft Game Studios,12.58m,N/A,14th Sep 04
Batman: Arkham City,Warner Bros. Interactive Entertainment,12.50m,N/A,18th Oct 11
Myst,Broderbund,12.50m,N/A,24th Sep 93
Rust,Facepunch Studios,12.48m,N/A,08th Feb 18
Luigi's Mansion 3    Read the review,Nintendo,12.44m,N/A,31st Oct 19
The Witcher 3: Wild Hunt    Read the review,Warner Bros. Interactive Entertainment,12.40m,N/A,19th May 15
Resident Evil 4,Capcom,12.30m,N/A,11th Jan 05
Mario Golf,Nintendo,12.22m,N/A,29th Sep 91
Mario & Luigi,Nintendo,12.20m,N/A,17th Nov 03
Metro,THQ,12.20m,N/A,16th Mar 10
Wario,Nintendo,12.13m,N/A,13th Mar 94
7 Days to Die,The Fun Pimps,12.00m,N/A,13th Dec 13
Assassin's Creed III,Ubisoft,12.00m,N/A,30th Oct 12
Assetto Corsa,Kunos Simulazioni,12.00m,N/A,19th Dec 14
Bomberman,Konami,12.00m,N/A,01st Jan 87
Cities: Skylines,Paradox Interactive,12.00m,N/A,10th Mar 15
Cooking Mama,Majesco Entertainment,12.00m,N/A,12th Sep 06
Diablo III    Read the review,Blizzard Entertainment,12.00m,N/A,15th May 12
Half-Life 2,VU Games,12.00m,N/A,16th Nov 04
Hogwarts Legacy,Warner Bros. Interactive Entertainment,12.00m,N/A,10th Feb 23
Jak and Daxter,Sony Interactive Entertainment,12.00m,N/A,03rd Dec 01
Left 4 Dead,Valve,12.00m,N/A,17th Nov 08
Monster Hunter Rise,Capcom,12.00m,N/A,26th Mar 21
NBA 2K19,2K Sports,12.00m,N/A,11th Sep 18
Pokémon FireRed / LeafGreen Version,Nintendo,12.00m,N/A,07th Sep 04
SOCOM,Sony Interactive Entertainment,12.00m,N/A,27th Aug 02
World of Warcraft,Blizzard Entertainment,12.00m,N/A,23rd Nov 04
Gran Turismo 5    Read the review,Sony Computer Entertainment,11.95m,N/A,24th Nov 10
Super Mario 64,Nintendo,11.91m,N/A,29th Sep 96
FIFA 18,EA Sports,N/A,11.80m,29th Sep 17
The Last of Us Remastered,Sony Computer Entertainment,11.78m,N/A,29th Jul 14
Gran Turismo 4,Sony Computer Entertainment,11.76m,N/A,22nd Feb 05
Animal Crossing: Wild World,Nintendo,11.75m,N/A,05th Dec 05
Resident Evil 7,Capcom,11.70m,N/A,24th Jan 17
The Room,Fireproof Games,11.60m,N/A,01st Sep 12
Max Payne,Rockstar Games,11.50m,N/A,23rd Jul 01
Taiko no Tatsujin,Namco,11.29m,N/A,26th Oct 04
Dragon Age,Electronic Arts,11.20m,N/A,03rd Nov 09
Resident Evil 2 (2019),Capcom,11.20m,N/A,25th Jan 19
Super Mario Land 2: 6 Golden Coins,Nintendo,11.18m,N/A,02nd Nov 92
