Name,Platform,Publisher,Global Sales,Date de sortie
Pokémon Heart Gold / Soul Silver Version    Read the review,DS,Nintendo,12.72,2010.0
Call of Duty: Black Ops    Read the review,Playstation,Activision,,2010.0
Grand Theft Auto V,PC,Rockstar Games,12.60,2015.0
Fable,Series,Microsoft Game Studios,12.58,2004.0
Batman: Arkham City,Series,Warner Bros. Interactive Entertainment,12.50,2011.0
Myst,All,Broderbund,12.50,1993.0
Rust,All,Facepunch Studios,12.48,2018.0
Luigi's Mansion 3    Read the review,NS,Nintendo,12.44,2019.0
The Witcher 3: Wild Hunt    Read the review,Playstation,Warner Bros. Interactive Entertainment,12.40,2015.0
Resident Evil 4,All,Capcom,12.30,2005.0
Mario Golf,Series,Nintendo,12.22,1991.0
Mario & Luigi,Series,Nintendo,12.20,2003.0
Metro,Series,THQ,12.20,2010.0
Wario,Series,Nintendo,12.13,1994.0
7 Days to Die,GB,The Fun Pimps,12.00,2013.0
Assassin's Creed III,PC,Ubisoft,12.00,2012.0
Assetto Corsa,PC,Kunos Simulazioni,12.00,2014.0
Bomberman,PC,Konami,12.00,1987.0
Cities: Skylines,Series,Paradox Interactive,12.00,2015.0
Cooking Mama,Series,Majesco Entertainment,12.00,2006.0
Diablo III    Read the review,Series,Blizzard Entertainment,12.00,2012.0
Half-Life 2,Series,VU Games,12.00,2004.0
Hogwarts Legacy,All,Warner Bros. Interactive Entertainment,12.00,2023.0
Jak and Daxter,All,Sony Interactive Entertainment,12.00,2001.0
Left 4 Dead,All,Valve,12.00,2008.0
Monster Hunter Rise,Series,Capcom,12.00,2021.0
NBA 2K19,All,2K Sports,12.00,2018.0
Pokémon FireRed / LeafGreen Version,All,Nintendo,12.00,2004.0
SOCOM,All,Sony Interactive Entertainment,12.00,2002.0
World of Warcraft,All,Blizzard Entertainment,12.00,2004.0
Gran Turismo 5    Read the review,Playstation,Sony Computer Entertainment,11.95,2010.0
Super Mario 64,Nintendo,Nintendo,11.91,1996.0
FIFA 18,Playstation,EA Sports,,2017.0
The Last of Us Remastered,Playstation,Sony Computer Entertainment,11.78,2014.0
Gran Turismo 4,Playstation,Sony Computer Entertainment,11.76,2005.0
Animal Crossing: Wild World,DS,Nintendo,11.75,2005.0
Resident Evil 7,All,Capcom,11.70,2017.0
The Room,Series,Fireproof Games,11.60,2012.0
Max Payne,Series,Rockstar Games,11.50,2001.0
Taiko no Tatsujin,Series,Namco,11.29,2004.0
Dragon Age,All,Electronic Arts,11.20,2009.0
Resident Evil 2 (2019),Series,Capcom,11.20,2019.0
Super Mario Land 2: 6 Golden Coins,GB,Nintendo,11.18,1992.0
Wii Party,Series,Nintendo,11.14,2010.0
Grand Theft Auto IV    Read the review,Xbox,Rockstar Games,,2008.0
Big Brain Academy,Series,Nintendo,11.08,2006.0
Super Mario 64 DS,DS,Nintendo,11.06,2004.0
Super Mario 64 DS,DS,Nintendo,11.06,2004.0
BioShock Infinite,PC,2K Games,11.00,2013.0
Civilization VI,Series,2K Games,11.00,2016.0
Dance Dance Revolution,PC,Konami,11.00,1998.0
Fall Guys: Ultimate Knockout,All,Devolver Digital,11.00,2020.0
God of War: Ragnarök,All,Sony Interactive Entertainment,11.00,2022.0
Lego Batman: The Videogame,All,Warner Bros. Interactive Entertainment,11.00,2008.0
Mortal Kombat X,All,Warner Bros. Interactive Entertainment,11.00,2015.0
NBA 2K21,All,2K Sports,11.00,2020.0
Need for Speed: Underground 2,All,Electronic Arts,11.00,2004.0
