Name,Platform,Test_MC,Players_MC
AFRO SAMURAI,PLAYSTATION,65.0,6.2
AFRO SAMURAI,XBOX,65.0,6.2
AFRO SAMURAI 2: REVENGE OF KUMA VOLUME ONE,PLAYSTATION,,
AFTER BURNER CLIMAX,PLAYSTATION,75.0,
AFTER BURNER CLIMAX,XBOX,72.0,8.7
AFTER BURNER: BLACK FALCON,PLAYSTATION,73.0,7.2
AFTER THE FALL,PC,76.0,6.6
AFTER THE FALL,PLAYSTATION,77.0,
AFTERCHARGE,XBOX,69.0,5.5
AFTERFALL: INSANITY,PC,50.0,5.8
AFTERPARTY,PC,75.0,6.9
AFTERPARTY,PLAYSTATION,70.0,6.8
AFTERPARTY,SWITCH,74.0,6.6
AFTERPARTY,XBOX,75.0,6.8
AGAIN: INTERACTIVE CRIME NOVEL,DS,52.0,6.7
AGATHA CHRISTIE: AND THEN THERE WERE NONE,PC,68.0,7.5
AGATHA CHRISTIE: AND THEN THERE WERE NONE,WII,50.0,6.2
AGATHA CHRISTIE: EVIL UNDER THE SUN,PC,66.0,7.1
AGATHA CHRISTIE: MURDER ON THE ORIENT EXPRESS,PC,60.0,7.3
AGATHA CHRISTIE: THE ABC MURDERS,DS,53.0,6.2
AGATHA CHRISTIE: THE ABC MURDERS,PC,66.0,8.5
AGATHA CHRISTIE: THE ABC MURDERS,PLAYSTATION,67.0,6.2
AGATHA CHRISTIE: THE ABC MURDERS,XBOX,66.0,6.8
AGE OF BOOTY,PLAYSTATION,74.0,5.7
AGE OF BOOTY,XBOX,76.0,7.2
AGE OF CONAN: HYBORIAN ADVENTURES,PC,80.0,7.3
AGE OF CONAN: RISE OF THE GODSLAYER,PC,83.0,7.7
AGE OF EMPIRES,PC,83.0,8.6
AGE OF EMPIRES II: DEFINITIVE EDITION,PC,84.0,8.8
AGE OF EMPIRES II: DEFINITIVE EDITION,XBOX,86.0,8.3
AGE OF EMPIRES II: HD EDITION,PC,68.0,7.9
AGE OF EMPIRES II: THE AGE OF KINGS,PC,92.0,9.0
AGE OF EMPIRES III,PC,81.0,7.7
AGE OF EMPIRES III: DEFINITIVE EDITION,PC,75.0,5.8
AGE OF EMPIRES III: THE ASIAN DYNASTIES,PC,81.0,8.4
AGE OF EMPIRES III: THE WARCHIEFS,PC,80.0,7.8
AGE OF EMPIRES IV,PC,81.0,7.7
AGE OF EMPIRES ONLINE,PC,70.0,5.7
AGE OF EMPIRES: DEFINITIVE EDITION,PC,69.0,6.7
AGE OF EMPIRES: MYTHOLOGIES,DS,78.0,7.2
AGE OF EMPIRES: THE AGE OF KINGS,DS,80.0,8.0
AGE OF MYTHOLOGY,PC,89.0,8.9
AGE OF MYTHOLOGY: EXTENDED EDITION,PC,66.0,7.6
AGE OF MYTHOLOGY: THE TITANS,PC,84.0,8.8
AGE OF PIRATES 2: CITY OF ABANDONED SHIPS,PC,61.0,7.5
AGE OF PIRATES: CARIBBEAN TALES,PC,56.0,5.7
AGE OF SAIL II,PC,62.0,
AGE OF SAIL II: PRIVATEER'S BOUNTY,PC,69.0,
AGE OF WONDERS II: THE WIZARD'S THRONE,PC,86.0,8.7
AGE OF WONDERS III,PC,80.0,8.0
AGE OF WONDERS III - ETERNAL LORDS,PC,80.0,8.6
AGE OF WONDERS III - GOLDEN REALMS,PC,82.0,8.7
AGE OF WONDERS: PLANETFALL,PC,81.0,7.5
AGE OF WONDERS: PLANETFALL,PLAYSTATION,78.0,6.6
AGE OF WONDERS: PLANETFALL,XBOX,85.0,6.5
AGE OF WONDERS: SHADOW MAGIC,PC,82.0,8.8
AGE OF ZOMBIES,PLAYSTATION,79.0,6.7
AGELESS,SWITCH,68.0,
AGENT A: A PUZZLE IN DISGUISE,SWITCH,79.0,7.6
AGENTS OF MAYHEM,PC,68.0,5.4
AGENTS OF MAYHEM,PLAYSTATION,62.0,6.6
AGENTS OF MAYHEM,XBOX,73.0,6.4
AGGRESSIVE INLINE,AUTRE,88.0,7.5
AGGRESSIVE INLINE,GB,75.0,
AGGRESSIVE INLINE,PLAYSTATION,85.0,8.7
AGGRESSIVE INLINE,XBOX,85.0,7.0
AGGRESSORS: ANCIENT ROME,PC,76.0,8.1
AGONY,PC,,
AGONY,PLAYSTATION,,
AGONY,XBOX,,
AI WAR: FLEET COMMAND,PC,80.0,8.0
AI: THE SOMNIUM FILES,PLAYSTATION,78.0,8.8
AI: THE SOMNIUM FILES,SWITCH,86.0,8.8
AI: THE SOMNIUM FILES - NIRVANA INITIATIVE,PC,88.0,8.2
AI: THE SOMNIUM FILES - NIRVANA INITIATIVE,PLAYSTATION,85.0,8.7
AI: THE SOMNIUM FILES - NIRVANA INITIATIVE,SWITCH,84.0,8.1
AIDYN CHRONICLES: THE FIRST MAGE,NINTENDO,53.0,7.9
AION,PC,76.0,6.6
AIPD - ARTIFICIAL INTELLIGENCE POLICE DEPARTMENT,XBOX,70.0,
AIR CONFLICTS: ACES OF WORLD WAR II,PLAYSTATION,,
AIR CONFLICTS: SECRET WARS,PLAYSTATION,51.0,7.2
AIR CONFLICTS: SECRET WARS,XBOX,61.0,
AIR CONFLICTS: VIETNAM,PC,,
AIR CONFLICTS: VIETNAM ULTIMATE EDITION,PLAYSTATION,,
AIR RAID: THIS IS NOT A DRILL!,PC,,6.5
AIR TRAFFIC CHAOS,DS,66.0,8.3
AIRACE SPEED,DS,68.0,7.5
AIRACE XENO,DS,66.0,6.8
AIRBLADE,PLAYSTATION,70.0,6.1
AIRBORNE ASSAULT: HIGHWAY TO THE REICH,PC,81.0,6.2
AIRBORNE ASSAULT: RED DEVILS OVER ARNHEM,PC,82.0,7.3
AIRBORNE KINGDOM,PC,76.0,7.1
AIRFIX DOGFIGHTER,PC,75.0,7.7
AIRFORCE DELTA STORM,XBOX,61.0,7.0
AIRFORCE DELTA STRIKE,PLAYSTATION,66.0,7.0
AIRHEART: TALES OF BROKEN WINGS,PLAYSTATION,63.0,5.6
AIRPLANE MODE,PC,53.0,
AIRSCAPE: THE FALL OF GRAVITY,PC,75.0,6.6
AKA,SWITCH,60.0,
AKAI KATANA,XBOX,75.0,8.2
AKANE,SWITCH,69.0,7.0
AKANEIRO: DEMON HUNTERS,PC,53.0,6.3
AKIBA'S BEAT,PLAYSTATION,55.0,6.9
AKIBA'S TRIP: HELLBOUND & DEBRIEFED,PLAYSTATION,52.0,5.3
AKIBA'S TRIP: HELLBOUND & DEBRIEFED,SWITCH,53.0,6.6
AKIBA'S TRIP: UNDEAD & UNDRESSED,PLAYSTATION,59.333333333333336,7.366666666666667
AKIMI VILLAGE,PLAYSTATION,69.0,
AKKA ARRH,PC,76.0,
AKKA ARRH,SWITCH,72.0,
AL EMMO AND THE LOST DUTCHMAN'S MINE,PC,77.0,7.1
ALAN WAKE,PC,83.0,8.0
ALAN WAKE,XBOX,83.0,8.2
ALAN WAKE REMASTERED,PLAYSTATION,79.0,8.0
ALAN WAKE REMASTERED,XBOX,80.0,7.9
ALAN WAKE'S AMERICAN NIGHTMARE,PC,73.0,6.7
ALAN WAKE'S AMERICAN NIGHTMARE,XBOX,76.0,7.7
